timestamp_ms,frametime_ms,fps
1757230061076,7.261,137.73
1757230061084,8.253,121.16
1757230061093,8.543,117.06
1757230061102,9.087,110.04
1757230061111,9.278,107.78
1757230061121,8.984,111.31
1757230061128,7.864,127.17
1757230061136,8.151,122.68
1757230061145,8.337,119.95
1757230061153,8.072,123.89
1757230061161,8.317,120.23
1757230061171,10.210,97.94
1757230061179,7.933,126.05
1757230061188,8.311,120.32
1757230061196,8.325,120.13
1757230061204,8.336,119.96
1757230061213,8.330,120.05
1757230061222,9.639,103.75
1757230061230,7.894,126.69
1757230061239,8.243,121.32
1757230061247,8.334,119.99
1757230061255,8.330,120.06
1757230061264,8.635,115.81
1757230061272,9.013,110.95
1757230061281,8.159,122.57
1757230061289,7.684,130.14
1757230061297,8.560,116.82
1757230061306,8.388,119.22
1757230061313,8.287,120.67
1757230061323,9.164,109.12
1757230061331,7.855,127.32
1757230061339,8.280,120.77
1757230061347,8.063,124.02
1757230061356,9.113,109.74
1757230061364,8.200,121.95
1757230061373,9.108,109.79
1757230061382,7.916,126.33
1757230061389,7.984,125.25
1757230061398,8.499,117.67
1757230061406,8.225,121.58
1757230061415,8.768,114.05
1757230061424,9.097,109.93
1757230061432,7.550,132.45
1757230061439,8.395,119.12
1757230061448,8.379,119.34
1757230061458,9.108,109.79
1757230061467,9.236,108.28
1757230061474,7.411,134.94
1757230061482,8.641,115.73
1757230061491,8.229,121.52
1757230061500,8.641,115.72
1757230061508,8.232,121.48
1757230061517,8.947,111.77
1757230061525,8.042,124.35
1757230061533,7.897,126.63
1757230061541,8.588,116.45
1757230061550,8.422,118.74
1757230061559,8.723,114.64
1757230061567,8.978,111.39
1757230061575,7.729,129.38
1757230061583,7.895,126.66
1757230061592,8.275,120.84
1757230061599,8.771,114.01
1757230061608,7.959,125.64
1757230061617,9.257,108.03
1757230061625,7.450,134.23
1757230061634,8.463,118.16
1757230061642,8.565,116.76
1757230061649,7.980,125.32
1757230061659,9.223,108.42
1757230061668,9.101,109.88
1757230061676,7.591,131.74
1757230061684,8.308,120.37
1757230061692,8.354,119.71
1757230061701,8.319,120.21
1757230061709,8.396,119.10
